#140tc	2009060111	2009092218
1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	1	1	5	3	1	1	2	1	3	3	2	2	6	2	9	1	1	1	2	3	10	43	55	54	18	36	27	86	42	44	12	10	9	3	4	5	4	1	1	2	3	13	26	70	60	59	17	2	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#53	2009053121	2009092318
2	1	3	3	2	2	6	2	9	1	1	1	2	3	10	43	55	54	19	36	27	86	42	44	12	10	9	3	4	5	5	1	1	2	3	14	26	70	60	59	17	2	26	27	29	4	6	4	7	8	2	2	1	1	1	2	3	1	2	5	2	2	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#ACES	2009053121	2009092312
5	4	3	1	4	1	3	3	2	3	6	2	10	1	1	1	1	3	3	11	45	55	54	21	36	28	86	42	44	13	10	9	3	4	5	5	1	1	2	3	14	26	71	63	60	19	2	26	27	30	4	7	4	7	8	2	2	1	2	1	3	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#Austin	2009053121	2009092312
5	5	4	3	6	2	4	5	3	4	7	2	10	1	1	1	1	4	4	12	46	56	54	21	36	28	86	45	44	13	10	9	4	4	5	5	1	1	2	3	17	26	72	63	63	20	2	27	28	31	6	8	5	7	9	2	2	1	2	1	1	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#BNP	2009053121	2009112119
1	1	1	1	1	3	1	2	2	2	1	3	3	4	1	6	1	2	1	1	4	2	1	3	2	1	5	5	6	3	3	1	1	1	1	1	2	1	3	2	3	5	14	2	1	2	1	3	1	1	1	1	1	1	2	2	1	2	3	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#BlameDrewsCancer	2009053121	2009092314
7	2	4	6	3	5	7	2	10	1	1	1	1	1	1	4	4	12	46	56	55	22	36	28	86	46	44	13	11	11	6	4	5	5	1	1	3	3	19	26	72	63	64	20	2	27	28	31	6	8	6	7	9	3	2	1	2	1	1	4	3	2	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#Broncos	2009053121	2009092218
2	4	2	2	5	1	4	2	1	3	1	2	2	4	5	5	4	3	8	2	4	6	3	6	7	3	11	1	2	1	1	1	2	4	4	12	48	56	55	22	36	29	87	46	44	13	11	11	6	4	5	8	1	1	4	3	19	26	72	64	64	21	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#Chapman	2009053121	2009101921
1	7	3	4	4	3	1	3	1	2	1	1	1	2	3	2	4	4	1	4	3	3	4	4	4	5	1	3	1	3	4	4	2	6	6	5	3	4	4	2	5	15	38	21	61	14	4	1	3	2	1	2	1	3	4	6	9	2	3	2	5	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#Chipotle	2009053121	2009121215
1	1	1	8	1	1	5	2	5	2	2	1	2	2	1	1	10	1	2	1	1	1	1	1	1	6	2	3	2	1	1	1	1	4	1	1	1	1	2	1	14	4	28	1	1	1	6	1	2	1	1	4	2	3	14	10	13	5	1	2	2	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#Chuck	2009053121	2010020819
3	5	2	1	3	6	1	2	2	5	12	2	3	4	2	2	2	1	3	9	7	6	10	1	1	1	2	2	1	1	2	1	3	14	39	26	16	16	15	141	21	25	494	74	31	15	23	11	1	3	3	1	4	4	8	8	11	22	27	15	13	41	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#DNN	2009053121	2010011120
3	1	3	3	2	4	4	3	5	27	28	23	28	31	34	21	48	92	120	222	111	76	43	21	15	15	7	9	6	8	11	11	15	23	16	9	15	16	14	11	12	46	91	40	28	19	18	10	4	7	4	2	4	3	5	5	10	13	9	8	6	10	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#Discovery	2009053121	2010020120
